,Asset-backed securities purchase programme,Covered bond purchase programme 3,Corporate Sector purchase programme,Public sector purchase programme,Total,,
2014-Q4,1744,29632,0,0,31376,,1
2015-Q1,4622,63606,0,47356,115584,,1
2015-Q2,8796,94997,0,197530,301323,,1
2015-Q3,13015,121151,0,341462,475628,,1
2015-Q4,15322,143340,0,491215,649877,,1
2016-Q1,18991,165638,0,648022,832651,,1
2016-Q2,19585,183377,6398,875201,1084561,,1
2016-Q3,20672,194304,29722,1061244,1305942,,1
2016-Q4,22830,203516,51069,1254635,1532050,,1
2017-Q1,24190,214446,75455,1457652,1771743,,1
2017-Q2,24135,222630,96620,1609327,1952712,,1
