"","from","to","time","flow","type"
"24",1,7,"2010-Q2",-37,1
"67",1,8,"2010-Q2",-13,1
"110",1,11,"2010-Q2",111,1
"153",1,14,"2010-Q2",-3,1
"196",2,7,"2010-Q2",7,1
"239",2,12,"2010-Q2",15,1
"282",3,7,"2010-Q2",54,1
"325",3,8,"2010-Q2",8,1
"368",3,11,"2010-Q2",206,1
"411",3,14,"2010-Q2",21,1
"454",4,7,"2010-Q2",-7,1
"497",4,8,"2010-Q2",106,1
"540",4,12,"2010-Q2",34,1
"583",4,14,"2010-Q2",-15,1
"626",6,7,"2010-Q2",-10,1
"669",6,8,"2010-Q2",27,1
"712",6,12,"2010-Q2",43,1
"755",6,14,"2010-Q2",-24,1
"798",7,1,"2010-Q2",-106,2
"841",7,2,"2010-Q2",133,2
"884",7,3,"2010-Q2",-101,2
"927",7,4,"2010-Q2",0,2
"970",8,1,"2010-Q2",9,2
"1013",8,3,"2010-Q2",131,2
"1056",8,4,"2010-Q2",49,2
"1099",11,2,"2010-Q2",80,2
"1142",11,3,"2010-Q2",125,2
"1185",11,4,"2010-Q2",49,2
"1228",11,6,"2010-Q2",30,2
"1271",14,1,"2010-Q2",-48,2
"1314",14,3,"2010-Q2",-3,2
