"","id","party","instrument","time","value","type"
"13",1,"BANKS","TOTAL","2010-Q1",32226,1
"56",3,"NON-BANKS","TOTAL","2010-Q1",5863,3
"131",4,"NON-FINANCIAL COMPANIES","TOTAL","2010-Q1",77,3
"206",2,"GOVERNMENT","TOTAL","2010-Q1",3712,3
"281",6,"HOUSEHOLDS","TOTAL","2010-Q1",18480,3
"324",7,"BONDS","TOTAL","2010-Q1",1000,2
"367",8,"EQUITIES","TOTAL","2010-Q1",1000,2
"410",11,"LOANS","TOTAL","2010-Q1",1000,2
"485",12,"NET INVESTMENTS","TOTAL","2010-Q1",30068,4
"528",14,"IF SHARES","TOTAL","2010-Q1",1000,2
